iter	Passed	Remaining
461	773	900
462	774	898
463	775	895
464	776	893
465	777	891
466	778	888
467	779	885
468	783	887
469	785	885
470	787	884
471	788	882
472	789	879
473	790	877
474	791	874
475	791	871
476	792	869
477	793	866
478	794	863
479	794	861
480	799	862
481	800	860
482	801	857
483	802	855
484	804	854
485	805	851
486	806	849
487	807	846
488	808	845
489	809	842
490	812	842
491	814	841
492	815	838
493	817	837
494	818	835
495	819	832
496	820	830
497	821	827
498	821	825
499	822	822
500	824	820
501	825	818
502	830	820
503	837	824
504	838	821
505	839	819
506	840	817
507	843	817
508	845	815
509	848	815
510	849	813
511	850	810
512	851	808
513	852	805
514	852	803
515	854	801
516	855	798
517	856	796
518	861	797
519	864	797
520	865	795
521	866	793
522	868	792
523	869	790
524	870	787
525	871	785
526	876	786
527	879	786
528	881	784
529	882	782
530	884	781
531	885	779
532	886	776
533	892	778
534	894	777
535	895	775
536	896	772
537	897	770
538	899	769
539	903	769
540	905	768
541	909	768
542	910	766
543	911	764
544	913	762
545	914	760
546	919	761
547	946	780
548	952	782
549	954	780
550	961	783
551	962	781
552	963	778
553	976	786
554	978	784
555	980	782
556	983	782
557	987	782
558	988	779
559	989	777
560	990	775
561	992	773
562	993	771
563	996	770
564	997	768
565	1000	767
566	1001	765
567	1003	762
568	1004	760
569	1006	759
570	1022	768
571	1026	768
572	1028	766
573	1029	764
574	1034	764
575	1035	762
576	1036	760
577	1038	758
578	1042	757
579	1044	756
580	1045	753
581	1046	751
582	1048	749
583	1049	747
584	1051	746
585	1052	743
586	1058	744
587	1063	745
588	1064	742
589	1066	741
590	1068	739
591	1074	740
592	1077	739
593	1078	737
594	1079	734
595	1084	734
596	1089	735
597	1093	734
598	1094	732
599	1095	730
600	1096	728
601	1098	726
602	1099	724
603	1104	724
604	1108	723
605	1110	721
606	1111	719
607	1113	717
608	1114	715
609	1118	714
610	1120	713
611	1128	715
612	1131	714
613	1134	713
614	1143	715
615	1144	713
616	1150	714
617	1152	712
618	1153	710
619	1154	707
620	1172	715
621	1181	717
622	1183	716
623	1184	713
624	1185	711
625	1187	709
626	1188	706
627	1193	707
628	1194	704
629	1197	703
630	1201	702
631	1202	700
632	1204	698
633	1209	698
634	1210	695
635	1220	698
636	1226	698
637	1229	697
638	1230	694
639	1231	692
640	1232	690
641	1233	687
642	1285	713
643	1295	715
644	1298	714
645	1300	712
646	1307	713
647	1310	711
648	1311	709
649	1312	706
650	1313	704
651	1317	702
652	1321	702
653	1322	699
654	1324	697
655	1342	704
656	1343	701
657	1345	699
658	1346	696
659	1347	694
660	1348	691
661	1349	689
662	1356	689
663	1358	687
664	1359	685
665	1374	689
666	1378	688
667	1379	685
668	1385	685
669	1386	683
670	1387	680
671	1389	678
672	1390	675
673	1401	677
674	1402	675
675	1403	672
676	1406	670
677	1407	668
678	1408	665
679	1410	663
680	1411	661
681	1412	658
682	1417	657
683	1420	656
684	1421	653
685	1423	651
686	1425	649
687	1426	646
688	1428	644
689	1433	644
690	1435	641
691	1436	639
692	1437	636
693	1440	635
694	1445	634
695	1446	631
696	1447	629
697	1449	626
698	1450	624
699	1451	621
700	1452	619
701	1453	617
702	1454	614
703	1455	612
704	1462	611
705	1464	609
706	1464	607
707	1465	604
708	1466	601
709	1467	599
710	1468	596
711	1469	594
712	1470	591
713	1470	589
714	1475	588
715	1476	585
716	1477	583
717	1481	581
718	1483	579
719	1484	577
720	1508	583
721	1513	582
722	1518	581
723	1524	581
724	1526	579
725	1527	576
726	1528	574
727	1530	571
728	1543	573
729	1544	571
730	1545	568
731	1552	568
732	1556	566
733	1557	564
734	1558	561
735	1559	559
736	1561	557
737	1575	559
738	1576	556
739	1577	554
740	1578	551
741	1584	550
742	1585	548
743	1586	546
744	1588	543
745	1589	541
746	1590	538
747	1592	536
748	1593	534
749	1596	532
750	1604	531
751	1605	529
752	1606	527
753	1612	526
754	1616	524
755	1618	522
756	1619	519
757	1629	520
758	1630	517
759	1631	515
760	1667	523
761	1668	521
762	1669	518
763	1670	516
764	1671	513
765	1675	511
766	1677	509
767	1679	507
768	1680	504
769	1682	502
770	1683	500
771	1684	497
772	1685	495
773	1690	493
774	1692	491
775	1699	490
776	1700	488
777	1726	492
778	1727	490
779	1728	487
780	1729	484
781	1730	482
782	1731	479
783	1732	477
784	1733	474
785	1737	473
786	1740	471
787	1741	468
788	1742	466
789	1743	463
790	1745	461
791	1751	460
792	1759	459
793	1793	465
794	1795	462
795	1801	461
796	1804	459
797	1806	457
798	1807	454
799	1810	452
800	1815	451
801	1819	449
802	1820	446
803	1821	444
804	1822	441
805	1824	439
806	1837	439
807	1838	436
808	1839	434
809	1840	431
810	1842	429
811	1868	432
812	1869	430
813	1870	427
814	1871	424
815	1883	424
816	1886	422
817	1887	420
818	1889	417
819	1894	415
820	1896	413
821	1898	411
822	1899	408
823	1902	406
824	1909	405
825	1912	402
826	1914	400
827	1916	398
828	1918	395
829	1923	394
830	1930	392
831	1931	390
832	1933	387
833	1936	385
834	1939	383
835	1943	381
836	1944	378
837	1945	376
838	1947	373
839	1948	371
840	1949	368
841	1960	367
842	1962	365
843	1963	362
844	1964	360
845	1965	357
846	1970	355
847	1971	353
848	1974	351
849	1975	348
850	1976	346
851	1977	343
852	1979	341
853	1980	338
854	1983	336
855	1989	334
856	1992	332
857	1993	329
858	1994	327
859	1995	324
860	1998	322
861	2000	320
862	2001	317
863	2001	315
864	2003	312
865	2005	310
866	2006	307
867	2008	305
868	2010	303
869	2014	301
870	2016	298
871	2017	296
872	2018	293
873	2019	291
874	2020	288
875	2022	286
876	2028	284
877	2031	282
878	2032	279
879	2033	277
880	2035	274
881	2037	272
882	2037	270
883	2038	267
884	2043	265
885	2045	263
886	2048	260
887	2049	258
888	2051	256
889	2053	253
890	2054	251
891	2059	249
892	2059	246
893	2062	244
894	2064	242
895	2065	239
896	2066	237
897	2067	234
898	2068	232
899	2072	230
900	2073	227
901	2074	225
902	2076	223
903	2077	220
904	2078	218
905	2080	215
906	2080	213
907	2081	210
908	2086	208
909	2087	206
910	2092	204
911	2093	202
912	2094	199
913	2103	197
914	2120	196
915	2122	194
916	2132	192
917	2133	190
918	2134	188
919	2135	185
920	2137	183
921	2138	180
922	2144	178
923	2153	177
924	2154	174
925	2159	172
926	2160	170
927	2163	167
928	2165	165
929	2167	163
930	2169	160
931	2170	158
932	2175	156
933	2178	153
934	2180	151
935	2181	149
936	2182	146
937	2184	144
938	2185	141
939	2186	139
940	2191	137
941	2194	135
942	2195	132
943	2196	130
944	2198	127
945	2199	125
946	2201	123
947	2206	121
948	2207	118
949	2215	116
950	2216	114
951	2217	111
952	2227	109
953	2228	107
954	2229	105
955	2231	102
956	2232	100
957	2233	97
958	2240	95
959	2244	93
960	2245	91
961	2247	88
962	2249	86
963	2254	84
964	2255	81
965	2259	79
966	2260	77
967	2261	74
968	2262	72
969	2263	70
970	2267	67
971	2269	65
972	2272	63
973	2273	60
974	2274	58
975	2276	55
976	2278	53
977	2279	51
978	2284	49
979	2285	46
980	2288	44
981	2289	41
982	2290	39
983	2292	37
984	2293	34
985	2294	32
986	2300	30
987	2305	27
988	2306	25
989	2310	23
990	2315	21
991	2316	18
992	2319	16
993	2320	14
994	2321	11
995	2323	9
996	2324	6
997	2325	4
998	2330	2
999	2331	0
